Alpha, Cnbeta
-63.0309,0.126343
-58.5269,0.119611
-54.8117,0.110673
-52.7084,0.0994767
-51.1281,0.0866304
-50.0446,0.0705172
-48.9611,0.0544039
-47.0543,0.0383418
-44.0496,0.0223477
-41.1577,0.0133581
-38.0780,0.00977371
-33.4124,0.0100631
-29.6221,0.0135343
-24.7947,0.0208452
-18.4159,0.0341852
-10.8124,0.0567701
-7.68369,0.0672118
-4.45965,0.0717265
-0.909120,0.0730254
2.96788,0.0711085
6.31332,0.0680799
9.73680,0.0602021
13.4434,0.0518024
18.3519,0.0370051
21.5703,0.0247997
25.7767,0.00240799
29.1339,-0.0184184
31.5233,-0.0473949
33.2020,-0.0834271
33.9447,-0.112506
34.6527,-0.139429
35.7708,-0.157698
36.5712,-0.173289
38.3480,-0.181269
40.5783,-0.183288
43.2881,-0.180963
45.6715,-0.175422
47.2835,-0.173164
49.7449,-0.172472
51.4002,-0.172909
